Transport_ID,Farm_ID,Market_ID,Vehicle_Type,Distance_km,Departure_Date,Arrival_Date,Transport_Time_hours,Fuel_Cost,Quantity_Transported_kg,Quantity_Damaged_kg,Road_Condition
T0044,F0210,M0137,Open Truck,97,9/12/2024,9/13/2024 16:00,40,185671.11,7535,2201,Good
T0045,F0079,M0236,Mini Van,628,12/7/2024,12/8/2024 4:00,28,96752.56,1813,389,Good
T0046,F0064,M0012,Open Truck,1007,10/10/2024,10/11/2024 19:00,43,87979.93,7312,919,Poor
T0047,F0120,M0069,Open Truck,967,7/25/2024,7/26/2024 13:00,37,53545.44,6384,912,Fair
T0048,F0202,M0196,Mini Van,143,6/26/2024,6/26/2024 19:00,19,55753.97,10062,2927,Fair
T0049,F0052,M0143,Refrigerated Truck,796,12/10/2024,12/11/2024 13:00,37,65357.79,9024,967,Fair
T0050,F0191,M0078,Refrigerated Truck,485,1/7/2024,1/7/2024 3:00,3,147450.47,7584,1765,Good
T0051,F0288,M0195,Refrigerated Truck,1183,6/1/2024,6/2/2024 4:00,28,95464.17,10680,1433,Poor
T0052,F0280,M0178,Refrigerated Truck,655,7/12/2024,7/12/2024 12:00,12,129490.07,463,7,Fair
T0053,F0251,M0010,Refrigerated Truck,456,11/28/2024,12/1/2024 0:00,72,88284.4,10098,857,Good
T0054,F0071,M0163,Refrigerated Truck,431,12/21/2024,12/22/2024 11:00,35,78415.2,5086,1363,Fair
T0055,F0204,M0088,Open Truck,206,11/2/2024,11/3/2024 1:00,25,81229.56,3539,636,Poor
T0056,F0147,M0030,Refrigerated Truck,312,4/8/2024,4/8/2024 20:00,20,241225.4,3133,423,Fair
T0057,F0233,M0241,Refrigerated Truck,1159,5/8/2024,5/10/2024 19:00,67,92465.72,7074,1106,Poor
T0058,F0165,M0200,Open Truck,891,1/7/2024,1/8/2024 6:00,30,73110.71,5708,469,Fair
T0059,F0263,M0231,Refrigerated Truck,291,1/13/2024,1/14/2024 17:00,41,60906.14,4919,27,Good
T0060,F0261,M0047,Refrigerated Truck,522,11/22/2024,11/24/2024 1:00,49,30811.21,5907,244,Fair
T0061,F0265,M0199,Mini Van,97,9/12/2024,9/13/2024 17:00,41,92445.33,6298,1077,Poor
T0062,F0169,M0234,Open Truck,510,5/14/2024,5/15/2024 1:00,25,222531.19,8091,2043,Poor
T0063,F0127,M0009,Open Truck,1082,12/19/2024,12/19/2024 14:00,14,67167.57,4158,507,Poor
T0064,F0256,M0096,Mini Van,128,12/14/2024,12/16/2024 17:00,65,56158.35,6043,1763,Poor
T0065,F0097,M0012,Mini Van,713,4/28/2024,4/30/2024 8:00,56,19883.99,8781,1950,Fair
T0066,F0263,M0136,Open Truck,207,6/27/2024,6/27/2024 17:00,17,134054.2,8252,609,Good
T0067,F0299,M0196,Refrigerated Truck,973,7/11/2024,7/11/2024 18:00,18,28960.67,5271,445,Fair
T0068,F0011,M0248,Refrigerated Truck,1010,6/22/2024,6/24/2024 4:00,52,58069.21,3694,704,Poor
T0069,F0052,M0087,Open Truck,219,9/14/2024,9/14/2024 17:00,17,55707.11,7843,918,Poor
T0070,F0041,M0106,Open Truck,1117,11/24/2024,11/25/2024 18:00,42,20405.49,6226,1402,Poor
T0071,F0176,M0078,Mini Van,61,7/15/2024,7/17/2024 13:00,61,55012.53,8026,1106,Good
T0072,F0298,M0109,Open Truck,140,2/10/2024,2/11/2024 4:00,28,239614.28,5940,1387,Good
T0073,F0009,M0135,Refrigerated Truck,908,9/27/2024,9/27/2024 7:00,7,235878.4,10227,517,Poor
T0074,F0290,M0070,Mini Van,94,5/9/2024,5/10/2024 13:00,37,75005.99,778,105,Fair
T0075,F0015,M0230,Mini Van,562,4/16/2024,4/17/2024 4:00,28,41481.18,4283,300,Fair
T0076,F0030,M0130,Open Truck,1030,7/4/2024,7/4/2024 2:00,2,238892.34,7422,1716,Poor
T0077,F0252,M0045,Open Truck,1059,1/22/2024,1/24/2024 5:00,53,106951.19,2528,504,Good
T0078,F0044,M0062,Open Truck,951,9/14/2024,9/16/2024 7:00,55,232580.78,4854,545,Fair
T0079,F0263,M0047,Mini Van,450,10/18/2024,10/18/2024 14:00,14,42999.21,8679,2190,Good
T0080,F0064,M0013,Refrigerated Truck,381,6/17/2024,6/18/2024 7:00,31,18312.91,5431,467,Fair
T0081,F0106,M0037,Mini Van,959,9/4/2024,9/5/2024 5:00,29,196134.35,6984,1235,Good
T0082,F0172,M0232,Open Truck,440,1/22/2024,1/23/2024 22:00,46,115813.7,9402,855,Good
T0083,F0288,M0038,Mini Van,107,6/20/2024,6/22/2024 20:00,68,167439.79,8753,2370,Poor
T0084,F0294,M0014,Open Truck,685,1/4/2024,1/6/2024 17:00,65,112206.34,9762,1724,Fair
T0085,F0266,M0093,Mini Van,811,2/4/2024,2/6/2024 9:00,57,45378.12,4234,1148,Fair
T0086,F0226,M0005,Refrigerated Truck,243,7/9/2024,7/10/2024 16:00,40,104851.31,10279,370,Fair
T0087,F0123,M0145,Open Truck,319,3/30/2024,3/30/2024 17:00,17,219713.19,6312,75,Poor
T0088,F0121,M0215,Mini Van,503,5/26/2024,5/28/2024 13:00,61,117594.87,5605,119,Poor
T0089,F0120,M0048,Refrigerated Truck,244,8/28/2024,8/30/2024 10:00,58,93885.23,6648,239,Poor
T0090,F0111,M0018,Mini Van,921,8/23/2024,8/23/2024 20:00,20,169756.88,1291,217,Fair
T0091,F0216,M0105,Open Truck,1040,11/11/2024,11/11/2024 18:00,18,232881.33,1933,8,Poor
T0092,F0112,M0147,Refrigerated Truck,194,3/3/2024,3/4/2024 7:00,31,115503.75,7501,1403,Good
T0093,F0010,M0029,Refrigerated Truck,850,9/22/2024,9/23/2024 20:00,44,234681.02,1369,167,Good
T0094,F0018,M0115,Open Truck,669,11/22/2024,11/24/2024 18:00,66,144515.46,5912,1726,Good
T0095,F0264,M0069,Refrigerated Truck,574,6/5/2024,6/7/2024 22:00,70,117198.65,10431,609,Poor
T0096,F0109,M0233,Mini Van,348,3/20/2024,3/21/2024 15:00,39,150987.52,4592,898,Fair
T0097,F0203,M0210,Refrigerated Truck,836,3/8/2024,3/9/2024 5:00,29,214688.57,5743,355,Fair
T0098,F0129,M0046,Mini Van,693,3/20/2024,3/22/2024 0:00,48,173668.72,1093,217,Fair
T0099,F0236,M0132,Mini Van,433,5/19/2024,5/19/2024 19:00,19,42971.93,2405,368,Poor
T0100,F0222,M0048,Open Truck,542,6/21/2024,6/23/2024 23:00,71,31941.59,4644,4,Good
T0101,F0128,M0075,Refrigerated Truck,719,5/31/2024,6/3/2024 0:00,72,172516.45,8481,1338,Poor
T0102,F0012,M0043,Mini Van,538,1/28/2024,1/28/2024 16:00,16,217779.12,9682,182,Good
T0103,F0251,M0140,Refrigerated Truck,940,11/18/2024,11/20/2024 9:00,57,21034.96,3457,495,Fair
T0104,F0183,M0201,Mini Van,618,5/11/2024,5/11/2024 17:00,17,180218.28,6814,1337,Poor
T0105,F0140,M0157,Open Truck,489,4/11/2024,4/12/2024 19:00,43,246347.93,4921,561,Good
T0106,F0096,M0168,Refrigerated Truck,705,2/13/2024,2/15/2024 2:00,50,233382.46,6033,1176,Good
T0107,F0265,M0131,Refrigerated Truck,377,11/16/2024,11/16/2024 23:00,23,148559.08,10612,2691,Good
T0108,F0189,M0132,Mini Van,985,10/10/2024,10/11/2024 0:00,24,42598.09,802,61,Poor
T0109,F0191,M0213,Open Truck,47,8/2/2024,8/4/2024 13:00,61,166057.61,3009,42,Good
T0110,F0156,M0076,Mini Van,232,1/14/2024,1/14/2024 9:00,9,131558.72,3308,131,Good
T0111,F0152,M0082,Open Truck,284,7/28/2024,7/28/2024 21:00,21,117778.18,9188,2699,Fair
T0112,F0198,M0035,Mini Van,673,7/25/2024,7/26/2024 1:00,25,142506.67,2379,310,Fair
T0113,F0234,M0222,Mini Van,203,7/8/2024,7/8/2024 13:00,13,193665.5,8971,1350,Poor
T0114,F0050,M0039,Refrigerated Truck,669,10/10/2024,10/10/2024 17:00,17,217371.28,9596,1046,Good
T0115,F0216,M0204,Refrigerated Truck,659,10/2/2024,10/2/2024 14:00,14,23295.77,1953,184,Poor
T0116,F0176,M0167,Open Truck,945,5/20/2024,5/20/2024 17:00,17,120552.01,6387,711,Good
T0117,F0263,M0026,Mini Van,654,6/22/2024,6/23/2024 16:00,40,221853.03,5562,1452,Fair
T0118,F0284,M0143,Mini Van,752,12/30/2024,1/1/2025 21:00,69,117858.09,6914,1458,Good
T0119,F0100,M0169,Refrigerated Truck,90,2/6/2024,2/7/2024 17:00,41,19658,10595,346,Poor
T0120,F0211,M0234,Mini Van,1112,5/24/2024,5/27/2024 0:00,72,31598.57,9139,739,Good
T0121,F0122,M0014,Open Truck,31,2/22/2024,2/22/2024 19:00,19,183591.69,7543,4,Good
T0122,F0271,M0220,Mini Van,1189,7/12/2024,7/14/2024 22:00,70,105513.16,2744,160,Fair
T0123,F0156,M0144,Mini Van,1006,5/22/2024,5/22/2024 2:00,2,231810.63,4102,647,Good
T0124,F0231,M0034,Mini Van,1093,7/5/2024,7/7/2024 9:00,57,89519.32,2369,701,Poor
T0125,F0077,M0003,Refrigerated Truck,989,1/4/2024,1/6/2024 16:00,64,181338.27,9342,2253,Fair
T0126,F0024,M0235,Open Truck,970,7/9/2024,7/9/2024 5:00,5,28322.15,10927,2021,Poor
T0127,F0230,M0166,Open Truck,920,7/23/2024,7/24/2024 19:00,43,228135.7,4112,534,Poor
T0128,F0277,M0089,Refrigerated Truck,455,8/15/2024,8/16/2024 17:00,41,208236.25,8988,2468,Good
T0129,F0065,M0139,Refrigerated Truck,437,7/30/2024,7/30/2024 17:00,17,240094.16,8650,1415,Good
T0130,F0206,M0071,Refrigerated Truck,125,5/3/2024,5/4/2024 6:00,30,13646.55,5891,47,Fair
T0131,F0154,M0195,Mini Van,1185,6/2/2024,6/4/2024 3:00,51,175403.51,10087,2979,Poor
T0132,F0147,M0103,Open Truck,209,3/27/2024,3/29/2024 14:00,62,121840.86,7743,1900,Poor
T0133,F0015,M0219,Mini Van,1010,6/14/2024,6/15/2024 1:00,25,218274.33,10725,2076,Good
T0134,F0057,M0085,Open Truck,733,5/18/2024,5/20/2024 1:00,49,229600.54,10313,2466,Fair
T0135,F0169,M0209,Refrigerated Truck,301,11/2/2024,11/2/2024 16:00,16,52201.31,5838,676,Good
T0136,F0161,M0057,Mini Van,222,10/28/2024,10/28/2024 10:00,10,10518.31,7864,2223,Good
T0137,F0130,M0137,Open Truck,163,7/28/2024,7/30/2024 22:00,70,237086.89,4526,678,Fair
T0138,F0285,M0240,Mini Van,793,12/22/2024,12/24/2024 0:00,48,220489.74,1494,295,Fair
T0139,F0152,M0066,Open Truck,762,1/10/2024,1/11/2024 22:00,46,21841.59,7122,100,Good
T0140,F0235,M0025,Mini Van,702,5/1/2024,5/4/2024 0:00,72,27160.71,8968,2672,Poor
T0141,F0040,M0190,Refrigerated Truck,930,5/10/2024,5/11/2024 22:00,46,200702.82,1906,147,Good
T0142,F0243,M0172,Refrigerated Truck,847,9/29/2024,9/30/2024 13:00,37,158630.26,8795,1393,Poor
T0143,F0275,M0220,Mini Van,127,4/11/2024,4/11/2024 12:00,12,45114.71,703,138,Fair
T0144,F0152,M0110,Open Truck,15,6/24/2024,6/25/2024 1:00,25,173730.85,6989,1685,Poor
T0145,F0227,M0207,Mini Van,367,10/5/2024,10/5/2024 18:00,18,181495.55,2397,261,Good
T0146,F0031,M0111,Refrigerated Truck,495,11/2/2024,11/4/2024 0:00,48,67995.86,5542,37,Good
T0147,F0118,M0028,Open Truck,466,8/18/2024,8/19/2024 4:00,28,33712.68,1529,327,Poor
T0148,F0244,M0240,Open Truck,833,2/27/2024,2/28/2024 19:00,43,123036.88,7424,1293,Good
T0149,F0275,M0026,Mini Van,208,6/14/2024,6/16/2024 2:00,50,118701.77,7639,755,Fair
T0150,F0066,M0022,Mini Van,854,2/23/2024,2/23/2024 11:00,11,123432.42,4239,758,Fair
T0151,F0255,M0048,Refrigerated Truck,599,7/12/2024,7/12/2024 19:00,19,141957.39,10284,1733,Poor
T0152,F0115,M0153,Mini Van,494,10/12/2024,10/12/2024 22:00,22,69470.11,5683,762,Poor
T0153,F0276,M0167,Open Truck,426,7/19/2024,7/21/2024 18:00,66,64667.79,8403,1788,Fair
T0154,F0244,M0047,Mini Van,956,2/3/2024,2/3/2024 11:00,11,161336.46,5316,241,Poor
T0155,F0297,M0010,Mini Van,894,8/27/2024,8/27/2024 2:00,2,55101.25,6905,292,Poor
T0156,F0212,M0084,Open Truck,742,11/19/2024,11/19/2024 18:00,18,165866.44,3614,704,Good
T0157,F0128,M0245,Refrigerated Truck,1035,10/4/2024,10/5/2024 11:00,35,23900.83,3607,8,Poor
T0158,F0056,M0007,Refrigerated Truck,1083,6/2/2024,6/2/2024 3:00,3,210553.07,10287,2896,Poor
T0159,F0232,M0037,Mini Van,82,8/12/2024,8/13/2024 23:00,47,47846.24,571,162,Poor
T0160,F0137,M0197,Mini Van,968,11/18/2024,11/20/2024 13:00,61,14749.05,5423,1169,Fair
T0161,F0038,M0232,Refrigerated Truck,18,6/27/2024,6/27/2024 4:00,4,135823.41,1407,394,Good
T0162,F0007,M0100,Open Truck,1098,9/2/2024,9/2/2024 13:00,13,209010.59,2279,275,Poor
T0163,F0167,M0156,Open Truck,1072,4/30/2024,5/2/2024 4:00,52,109601.45,3930,246,Poor
T0164,F0005,M0022,Open Truck,486,10/24/2024,10/24/2024 23:00,23,64303.62,8974,2596,Fair
T0165,F0223,M0171,Open Truck,1034,6/23/2024,6/25/2024 4:00,52,249386.39,1288,177,Fair
T0166,F0104,M0087,Refrigerated Truck,431,4/11/2024,4/12/2024 16:00,40,188659.85,8821,29,Poor
T0167,F0199,M0147,Open Truck,845,4/28/2024,4/29/2024 17:00,41,233703.1,972,173,Fair
T0168,F0160,M0139,Open Truck,1005,2/9/2024,2/9/2024 13:00,13,21695.74,1890,108,Poor
T0169,F0065,M0212,Mini Van,1093,2/14/2024,2/14/2024 6:00,6,64583.59,3673,75,Poor
T0170,F0177,M0039,Mini Van,705,8/3/2024,8/5/2024 4:00,52,161753.88,4217,550,Good
T0171,F0031,M0220,Refrigerated Truck,456,8/17/2024,8/18/2024 11:00,35,139619.16,8644,1910,Fair
T0172,F0001,M0188,Mini Van,269,6/3/2024,6/6/2024 0:00,72,27643.55,6302,1330,Good
T0173,F0254,M0042,Open Truck,1120,12/2/2024,12/2/2024 18:00,18,72140.33,627,41,Fair
T0174,F0125,M0220,Refrigerated Truck,286,4/15/2024,4/17/2024 15:00,63,109477.87,340,33,Fair
T0175,F0259,M0215,Refrigerated Truck,1019,6/16/2024,6/17/2024 19:00,43,169026.28,2707,19,Poor
T0176,F0106,M0214,Refrigerated Truck,288,4/29/2024,4/29/2024 12:00,12,39325.12,8029,1872,Poor
T0177,F0095,M0159,Mini Van,398,8/20/2024,8/20/2024 17:00,17,160830.1,385,40,Poor
T0178,F0009,M0051,Mini Van,618,7/12/2024,7/14/2024 21:00,69,28241.31,1427,336,Good
T0179,F0103,M0145,Refrigerated Truck,579,3/28/2024,3/30/2024 10:00,58,234653.6,5973,237,Fair
T0180,F0130,M0098,Refrigerated Truck,215,7/26/2024,7/26/2024 16:00,16,111933.7,7122,957,Poor
T0181,F0077,M0164,Mini Van,300,4/4/2024,4/4/2024 22:00,22,135923.39,2528,284,Poor
T0182,F0106,M0062,Open Truck,310,4/17/2024,4/19/2024 17:00,65,103772.51,9060,693,Fair
T0183,F0033,M0152,Mini Van,46,6/28/2024,6/29/2024 18:00,42,16391.1,1737,224,Good
T0184,F0124,M0240,Mini Van,872,10/21/2024,10/21/2024 12:00,12,137117.94,2020,378,Fair
T0185,F0287,M0139,Mini Van,342,7/10/2024,7/12/2024 4:00,52,194694.91,9560,1733,Poor
T0186,F0105,M0056,Open Truck,1174,11/22/2024,11/22/2024 7:00,7,105585.91,5201,1556,Good
T0187,F0251,M0202,Refrigerated Truck,855,8/8/2024,8/10/2024 14:00,62,179602.06,3923,147,Poor
T0188,F0254,M0179,Open Truck,925,6/3/2024,6/5/2024 9:00,57,129400.93,4623,1370,Poor
T0189,F0158,M0077,Open Truck,1012,1/14/2024,1/16/2024 14:00,62,126161.44,2983,545,Good
T0190,F0245,M0129,Refrigerated Truck,1095,3/28/2024,3/30/2024 10:00,58,91201.2,7574,1425,Poor
T0191,F0287,M0023,Refrigerated Truck,586,3/9/2024,3/11/2024 12:00,60,46069.68,601,160,Fair
T0192,F0003,M0039,Open Truck,432,6/13/2024,6/15/2024 6:00,54,227331.01,8380,2477,Good
T0193,F0289,M0113,Mini Van,1188,7/23/2024,7/24/2024 20:00,44,134644.99,6613,267,Good
T0194,F0019,M0185,Open Truck,1104,11/24/2024,11/25/2024 8:00,32,249957.65,5778,1413,Poor
T0195,F0251,M0073,Refrigerated Truck,1043,2/4/2024,2/5/2024 17:00,41,98518.39,6423,852,Fair
T0196,F0139,M0046,Refrigerated Truck,1131,9/21/2024,9/22/2024 7:00,31,37738.25,3947,992,Good
T0197,F0131,M0204,Open Truck,250,8/28/2024,8/28/2024 11:00,11,193860.86,7088,2070,Good
T0198,F0041,M0229,Refrigerated Truck,764,7/1/2024,7/3/2024 17:00,65,71873.74,3976,965,Good
T0199,F0104,M0147,Refrigerated Truck,318,9/11/2024,9/11/2024 18:00,18,63879.22,1116,83,Fair
T0200,F0135,M0185,Mini Van,490,8/27/2024,8/27/2024 2:00,2,132151.89,2066,407,Poor
T0201,F0026,M0065,Mini Van,347,5/25/2024,5/25/2024 15:00,15,228903.39,5074,1217,Poor
T0202,F0069,M0121,Open Truck,298,3/11/2024,3/13/2024 19:00,67,60274.65,9844,1885,Poor
T0203,F0163,M0119,Open Truck,481,6/25/2024,6/26/2024 17:00,41,103262.77,4974,105,Fair
T0204,F0127,M0130,Open Truck,933,3/20/2024,3/21/2024 10:00,34,50083.01,2158,141,Fair
T0205,F0093,M0048,Open Truck,582,8/21/2024,8/22/2024 19:00,43,239072.72,8780,1551,Fair
T0206,F0043,M0109,Open Truck,467,1/7/2024,1/9/2024 15:00,63,187684.16,1856,66,Good
T0207,F0045,M0168,Open Truck,805,4/26/2024,4/27/2024 8:00,32,241565.31,1081,165,Poor
T0208,F0277,M0131,Open Truck,980,6/30/2024,6/30/2024 14:00,14,149164.89,861,64,Fair
T0209,F0045,M0031,Refrigerated Truck,227,6/16/2024,6/16/2024 13:00,13,90982.37,5667,1415,Good
T0210,F0064,M0161,Refrigerated Truck,508,5/14/2024,5/14/2024 8:00,8,153761.77,5748,723,Good
T0211,F0069,M0160,Mini Van,31,4/19/2024,4/20/2024 5:00,29,239934.1,2424,4,Good
T0212,F0108,M0222,Open Truck,202,3/30/2024,3/31/2024 11:00,35,200292.37,9701,1082,Good
T0213,F0101,M0158,Refrigerated Truck,1048,10/14/2024,10/14/2024 2:00,2,134132.72,3272,621,Good
T0214,F0026,M0021,Mini Van,228,2/21/2024,2/22/2024 6:00,30,79296.35,3223,668,Poor
T0215,F0244,M0247,Open Truck,1199,7/12/2024,7/14/2024 23:00,71,228505.27,6836,1461,Good
T0216,F0223,M0119,Mini Van,790,10/16/2024,10/18/2024 11:00,59,246928.44,1247,188,Poor
T0217,F0165,M0150,Refrigerated Truck,35,8/4/2024,8/5/2024 1:00,25,181111.18,1158,298,Good
T0218,F0256,M0211,Refrigerated Truck,199,9/16/2024,9/17/2024 11:00,35,79293.44,5446,1093,Fair
T0219,F0115,M0099,Refrigerated Truck,500,3/7/2024,3/9/2024 19:00,67,95328.72,776,136,Fair
T0220,F0159,M0019,Mini Van,60,3/10/2024,3/11/2024 16:00,40,16259.85,6382,507,Poor
T0221,F0135,M0175,Refrigerated Truck,338,6/2/2024,6/3/2024 21:00,45,100729.58,10409,1808,Good
T0222,F0060,M0056,Mini Van,535,2/15/2024,2/17/2024 12:00,60,215994.09,9890,422,Fair
T0223,F0216,M0121,Open Truck,1069,11/23/2024,11/25/2024 16:00,64,94433.47,8243,2270,Good
T0224,F0002,M0083,Refrigerated Truck,415,8/25/2024,8/25/2024 8:00,8,30729.73,8290,1610,Good
T0225,F0128,M0196,Open Truck,188,9/17/2024,9/20/2024 0:00,72,103926.38,8093,1464,Fair
T0226,F0257,M0012,Open Truck,794,12/24/2024,12/26/2024 2:00,50,118407.34,10077,417,Good
T0227,F0064,M0174,Open Truck,1126,11/4/2024,11/4/2024 20:00,20,196132.92,1023,176,Good
T0228,F0211,M0088,Mini Van,304,12/27/2024,12/27/2024 13:00,13,53778.4,4701,949,Poor
T0229,F0033,M0240,Mini Van,912,12/26/2024,12/27/2024 23:00,47,220274.42,422,15,Good
T0230,F0170,M0234,Open Truck,959,11/7/2024,11/8/2024 19:00,43,180592.63,3276,771,Poor
T0231,F0054,M0020,Mini Van,1121,11/26/2024,11/27/2024 5:00,29,100871.08,2633,786,Fair
T0232,F0089,M0202,Mini Van,303,9/8/2024,9/8/2024 12:00,12,128214.94,5562,1441,Fair
T0233,F0289,M0071,Refrigerated Truck,639,5/10/2024,5/11/2024 16:00,40,181536.11,3937,942,Good
T0234,F0187,M0169,Refrigerated Truck,146,3/23/2024,3/23/2024 22:00,22,193022.14,5156,991,Fair
T0235,F0055,M0022,Open Truck,1005,1/31/2024,2/1/2024 12:00,36,45750.93,10730,1251,Fair
T0236,F0268,M0150,Open Truck,160,1/25/2024,1/27/2024 8:00,56,176919.76,8202,851,Good
T0237,F0291,M0210,Mini Van,962,12/5/2024,12/6/2024 17:00,41,128192.95,5095,235,Fair
T0238,F0021,M0066,Mini Van,157,10/9/2024,10/9/2024 4:00,4,166910.64,6059,783,Good
T0239,F0059,M0167,Open Truck,557,9/7/2024,9/8/2024 8:00,32,80769.61,4936,898,Poor
T0240,F0190,M0093,Mini Van,167,4/24/2024,4/25/2024 10:00,34,193289.73,487,105,Poor
T0241,F0280,M0131,Refrigerated Truck,152,12/17/2024,12/18/2024 12:00,36,22706.18,8325,1783,Good
T0242,F0255,M0172,Refrigerated Truck,466,12/17/2024,12/17/2024 20:00,20,202679.97,9060,252,Good
T0243,F0174,M0071,Mini Van,1063,6/23/2024,6/23/2024 4:00,4,58661.34,10528,2860,Good
T0244,F0257,M0032,Refrigerated Truck,506,7/2/2024,7/3/2024 15:00,39,97318.65,1521,276,Fair
T0245,F0110,M0100,Refrigerated Truck,645,1/27/2024,1/28/2024 9:00,33,156040.83,1427,348,Poor
T0246,F0005,M0202,Mini Van,1200,7/5/2024,7/7/2024 23:00,71,27830.82,5650,432,Good
T0247,F0008,M0050,Mini Van,435,4/6/2024,4/8/2024 0:00,48,24768.18,8498,1936,Poor
T0248,F0190,M0212,Open Truck,734,9/20/2024,9/22/2024 20:00,68,182007.83,2879,133,Poor
T0249,F0167,M0124,Mini Van,419,8/27/2024,8/28/2024 0:00,24,79762.92,5843,141,Poor
