Storage_ID,Farm_ID,Entry_Date,Exit_Date,Quantity_Stored_kg,Quantity_Spoiled_kg,Temperature_C,Humidity_percent,Storage_Cost,Loss_Reason
S0034,F0124,2024-12-06,2024-12-07,5893,643,27.1,45.1,12247.37,Pests
S0035,F0082,2024-10-11,2024-10-26,7952,988,17.9,51.9,17395.78,Overheating
S0036,F0105,2024-04-16,2024-04-26,8098,2072,14.1,64.9,6975.9,Bruising
S0037,F0274,2024-11-01,2024-11-16,9926,1512,14.6,73.5,10076.59,Rot
S0038,F0139,2024-12-13,2024-12-30,1798,560,27.9,82.1,3091.24,Overheating
S0039,F0045,2024-03-15,2024-03-25,545,104,26.8,82.7,10799.46,Pests
S0040,F0186,2024-12-05,2024-12-09,1415,292,29.7,81.7,9327.33,Bruising
S0041,F0205,2024-02-15,2024-02-23,5027,263,15.6,62.2,36539.07,Pests
S0042,F0180,2024-05-21,2024-05-27,784,192,32.2,41.4,28743.88,Mold
S0043,F0094,2024-05-07,2024-05-20,6069,405,15.9,54.9,25138.84,Pests
S0044,F0083,2024-12-30,2025-01-01,6929,168,19.6,81.6,7935.19,Rot
S0045,F0292,2024-10-09,2024-10-19,3243,471,21.4,68.6,37176.33,Overheating
S0046,F0147,2024-06-27,2024-06-28,2132,676,32.3,88.1,24234.7,Rot
S0047,F0108,2024-05-05,2024-05-09,908,168,29.0,59.0,36718.54,Mold
S0048,F0270,2024-12-21,2025-01-03,3917,580,10.4,92.0,18111.08,Bruising
S0049,F0028,2024-12-20,2025-01-06,7718,2088,26.3,51.3,27578.6,Pests
S0050,F0134,2024-09-07,2024-09-14,1015,291,12.7,49.0,31672.68,Pests
S0051,F0087,2024-10-05,2024-10-14,4390,126,17.7,62.6,9653.62,Bruising
S0052,F0248,2024-03-11,2024-03-16,8269,2750,14.4,53.3,21584.5,Mold
S0053,F0073,2024-03-09,2024-03-21,5204,278,23.9,53.2,25917.26,Rot
S0054,F0237,2024-10-07,2024-10-21,3072,322,30.7,62.3,9840.36,Bruising
S0055,F0023,2024-01-07,2024-01-19,8272,850,9.6,55.4,9490.3,Bruising
S0056,F0228,2024-08-17,2024-08-21,2943,669,20.7,60.0,8387.62,Rot
S0057,F0043,2024-01-24,2024-01-25,7976,1993,28.2,58.2,30081.92,Bruising
S0058,F0098,2024-02-25,2024-03-12,7414,2005,29.2,57.7,15653.23,Rot
S0059,F0126,2024-11-25,2024-12-05,4419,1342,10.1,81.1,2961.14,Mold
S0060,F0270,2024-03-15,2024-03-25,6327,765,30.8,91.0,8401.45,Bruising
S0061,F0183,2024-11-11,2024-11-22,6515,760,16.6,60.3,22943.1,Bruising
S0062,F0055,2024-05-09,2024-05-17,1245,26,23.3,74.6,33149.9,Mold
S0063,F0256,2024-01-26,2024-02-02,8399,1737,27.7,94.8,24899.75,Rot
S0064,F0227,2024-03-13,2024-03-21,2981,288,25.2,62.1,39203.46,Mold
S0065,F0002,2024-09-02,2024-09-09,3876,767,8.9,73.6,33674.44,Overheating
S0066,F0029,2024-08-05,2024-08-10,4940,152,21.9,63.2,14869.41,Mold
S0067,F0152,2024-01-05,2024-01-11,2994,780,8.1,84.2,27659.94,Overheating
S0068,F0166,2024-04-10,2024-04-26,1693,560,22.0,63.6,22318.42,Pests
S0069,F0170,2024-07-24,2024-08-13,1634,66,24.4,56.3,23702.77,Bruising
S0070,F0176,2024-09-03,2024-09-08,5203,1777,22.3,74.9,34228.19,Pests
S0071,F0297,2024-12-13,2024-12-28,1696,155,18.0,71.9,17822.32,Overheating
S0072,F0134,2024-05-03,2024-05-22,7531,1628,11.1,49.9,35819.75,Overheating
S0073,F0049,2024-02-27,2024-03-06,4453,1335,13.1,76.9,28945.72,Pests
S0074,F0294,2024-10-10,2024-10-25,4011,1113,26.8,80.5,36551.62,Overheating
S0075,F0069,2024-02-11,2024-02-25,1503,455,31.3,70.3,29155.0,Rot
S0076,F0201,2024-11-16,2024-12-03,1972,476,22.7,93.2,9282.52,Mold
S0077,F0208,2024-02-17,2024-02-22,6417,240,14.4,60.5,2576.5,Overheating
S0078,F0070,2024-04-19,2024-05-04,5214,251,19.5,88.9,25604.47,Pests
S0079,F0188,2024-10-15,2024-10-19,6110,693,28.1,58.8,31017.5,Rot
S0080,F0263,2024-05-10,2024-05-14,4220,768,27.9,92.1,29427.6,Rot
S0081,F0282,2024-11-05,2024-11-17,1932,369,16.8,73.2,3297.57,Pests
S0082,F0011,2024-05-10,2024-05-22,3464,919,30.6,72.0,6315.89,Rot
S0083,F0095,2024-09-06,2024-09-10,1508,269,12.1,91.2,35202.3,Mold
S0084,F0138,2024-03-14,2024-04-02,4400,1107,33.6,40.8,15009.98,Pests
S0085,F0019,2024-09-06,2024-09-23,8229,134,10.0,74.1,26498.09,Overheating
S0086,F0230,2024-07-19,2024-08-04,2893,714,18.6,88.0,25212.13,Rot
S0087,F0160,2024-07-03,2024-07-14,8955,891,32.1,72.4,3658.93,Pests
S0088,F0240,2024-07-03,2024-07-18,5729,1186,18.5,59.5,2227.55,Overheating
S0089,F0128,2024-09-04,2024-09-15,4012,47,20.4,94.3,3724.5,Pests
S0090,F0140,2024-12-09,2024-12-14,4767,792,9.7,94.5,15559.68,Overheating
S0091,F0018,2024-09-27,2024-10-16,2578,720,32.7,89.6,5619.58,Pests
S0092,F0145,2024-08-06,2024-08-25,1921,376,29.4,53.1,32274.62,Pests
S0093,F0175,2024-12-14,2024-12-17,5280,1568,28.0,68.0,26137.96,Bruising
S0094,F0173,2024-10-08,2024-10-21,5779,128,26.1,88.6,31737.48,Overheating
S0095,F0078,2024-07-07,2024-07-15,4147,720,11.7,40.4,35097.1,Mold
S0096,F0155,2024-07-26,2024-08-10,6789,2334,33.1,72.3,7464.97,Bruising
S0097,F0175,2024-05-09,2024-05-28,9332,2703,10.0,50.5,37141.57,Overheating
S0098,F0240,2024-04-01,2024-04-11,9810,1452,17.6,82.6,18274.25,Rot
S0099,F0132,2024-09-05,2024-09-16,3171,569,22.8,81.7,25805.08,Pests
S0100,F0205,2024-12-26,2024-12-27,3876,102,20.1,89.1,12740.14,Overheating
S0101,F0030,2024-11-27,2024-12-01,3522,500,34.0,73.1,5013.72,Overheating
S0102,F0139,2024-06-23,2024-06-28,382,53,22.5,88.1,26315.91,Rot
S0103,F0014,2024-04-18,2024-04-29,5653,1782,25.5,62.3,27800.62,Bruising
S0104,F0045,2024-03-30,2024-04-01,7087,191,24.9,58.4,20785.68,Overheating
S0105,F0014,2024-07-23,2024-08-01,7891,60,33.0,71.0,39525.94,Rot
S0106,F0048,2024-07-31,2024-08-20,5693,325,8.5,51.6,22120.32,Rot
S0107,F0276,2024-07-02,2024-07-14,7234,1414,26.4,87.6,7829.57,Overheating
S0108,F0133,2024-10-21,2024-11-01,4068,1272,30.0,66.3,3202.07,Bruising
S0109,F0143,2024-11-29,2024-12-17,7724,2295,17.8,69.1,12409.28,Bruising
S0110,F0186,2024-01-05,2024-01-23,8094,413,12.1,74.6,17232.08,Rot
S0111,F0031,2024-01-15,2024-02-04,2497,130,22.7,51.3,31540.1,Bruising
S0112,F0091,2024-11-06,2024-11-18,2746,929,31.5,87.1,31605.61,Overheating
S0113,F0256,2024-01-15,2024-01-27,4274,909,13.8,90.2,36239.13,Mold
S0114,F0014,2024-08-23,2024-08-30,5605,1622,10.9,80.3,4486.68,Mold
S0115,F0289,2024-12-11,2024-12-23,1282,121,18.2,89.9,16271.54,Pests
S0116,F0223,2024-01-16,2024-01-25,640,72,14.5,59.5,14389.73,Mold
S0117,F0256,2024-11-25,2024-12-04,5189,1806,13.8,71.3,7955.5,Bruising
S0118,F0170,2024-03-10,2024-03-20,4929,186,8.1,88.0,11489.85,Bruising
S0119,F0297,2024-12-15,2025-01-04,7722,873,9.4,83.0,34351.18,Bruising
S0120,F0072,2024-01-24,2024-02-08,3286,895,34.9,56.4,2928.12,Rot
S0121,F0078,2024-03-18,2024-03-19,2485,314,21.6,59.3,30549.55,Mold
S0122,F0174,2024-12-15,2024-12-28,1778,429,25.3,76.6,17073.65,Bruising
S0123,F0008,2024-01-17,2024-02-05,4143,417,9.0,67.8,10801.89,Mold
S0124,F0163,2024-12-23,2024-12-27,626,17,9.7,46.1,38372.3,Pests
S0125,F0115,2024-09-26,2024-10-10,342,27,26.5,48.1,30052.03,Overheating
S0126,F0040,2024-02-27,2024-03-15,6092,2037,17.4,51.8,38765.02,Pests
S0127,F0136,2024-02-07,2024-02-16,3203,36,15.3,93.1,9464.97,Rot
S0128,F0006,2024-07-27,2024-08-14,6241,1099,16.8,42.3,19242.13,Bruising
S0129,F0205,2024-10-07,2024-10-18,7023,1105,19.4,69.7,16553.07,Pests
S0130,F0003,2024-07-17,2024-07-30,7016,590,14.5,67.6,39568.42,Overheating
S0131,F0045,2024-07-12,2024-07-20,3550,242,30.8,83.1,36523.79,Rot
S0132,F0227,2024-07-26,2024-08-13,5614,1407,22.8,57.4,38921.3,Rot
S0133,F0280,2024-08-30,2024-09-15,8657,1407,34.9,52.9,25921.51,Mold
S0134,F0137,2024-06-30,2024-07-03,6747,2160,24.5,77.2,14241.19,Overheating
S0135,F0243,2024-12-06,2024-12-14,4640,542,31.2,59.1,24400.66,Overheating
S0136,F0271,2024-04-23,2024-04-28,1378,479,17.8,51.3,8427.05,Bruising
S0137,F0236,2024-05-02,2024-05-08,2797,846,12.8,92.1,34520.22,Rot
S0138,F0063,2024-06-13,2024-06-26,6227,1758,19.1,78.6,16255.58,Bruising
S0139,F0232,2024-07-01,2024-07-18,8841,1243,25.9,55.1,13039.0,Mold
S0140,F0245,2024-12-21,2024-12-25,7661,2604,27.7,49.6,21658.83,Rot
S0141,F0267,2024-12-14,2024-12-19,6311,2007,25.8,74.3,21888.68,Mold
S0142,F0001,2024-05-09,2024-05-10,9412,827,23.4,43.2,8780.32,Overheating
S0143,F0136,2024-05-20,2024-05-31,4488,500,30.5,45.0,26173.43,Rot
S0144,F0191,2024-04-13,2024-04-18,7232,1194,32.9,79.5,16277.6,Rot
S0145,F0132,2024-12-30,2025-01-09,6983,1770,17.5,61.2,23990.63,Overheating
S0146,F0105,2024-04-08,2024-04-27,6400,264,16.9,43.9,30729.46,Mold
S0147,F0014,2024-07-20,2024-08-06,7094,2039,10.9,71.0,37532.23,Mold
S0148,F0226,2024-07-31,2024-08-16,3187,138,18.7,47.4,30606.4,Rot
S0149,F0278,2024-12-09,2024-12-17,3580,827,9.1,77.4,23046.3,Mold
S0150,F0040,2024-08-23,2024-08-27,1775,231,23.4,40.9,20883.84,Pests
S0151,F0103,2024-10-15,2024-10-30,1201,353,27.2,66.6,4081.58,Mold
S0152,F0075,2024-10-25,2024-10-30,6967,210,16.7,50.5,39324.73,Pests
S0153,F0045,2024-10-02,2024-10-11,8819,1079,16.5,54.0,34637.38,Overheating
S0154,F0158,2024-07-21,2024-08-07,7184,214,16.2,87.7,32474.94,Overheating
S0155,F0027,2024-05-11,2024-05-21,3609,274,13.6,75.9,37433.13,Mold
S0156,F0175,2024-12-29,2025-01-17,2614,379,13.4,90.6,23132.84,Rot
S0157,F0210,2024-06-09,2024-06-10,9033,282,33.7,85.3,3341.94,Pests
S0158,F0233,2024-08-12,2024-08-22,3585,433,19.0,80.0,9746.69,Pests
S0159,F0026,2024-01-30,2024-02-05,7406,514,11.7,88.4,32943.25,Mold
S0160,F0085,2024-04-02,2024-04-03,9492,3024,21.5,77.1,27648.42,Bruising
S0161,F0106,2024-04-18,2024-05-06,2904,154,21.9,65.6,9661.84,Rot
S0162,F0132,2024-01-26,2024-02-09,3966,1354,27.1,64.3,18133.92,Rot
S0163,F0229,2024-12-22,2024-12-27,984,86,15.9,52.8,24118.13,Bruising
S0164,F0133,2024-12-27,2025-01-14,2822,321,16.8,86.3,7772.12,Pests
S0165,F0080,2024-07-19,2024-07-21,5667,783,25.3,52.3,22737.35,Rot
S0166,F0095,2024-04-11,2024-04-26,2739,750,19.6,77.3,6346.17,Bruising
S0167,F0038,2024-03-03,2024-03-10,8890,2160,15.9,59.1,30514.02,Mold
S0168,F0156,2024-02-17,2024-02-24,8242,1151,24.1,69.7,5360.49,Pests
S0169,F0154,2024-08-28,2024-09-06,4022,1190,8.9,72.9,38759.47,Bruising
S0170,F0089,2024-04-09,2024-04-14,5215,107,17.0,64.7,11401.06,Bruising
S0171,F0036,2024-04-01,2024-04-05,5186,1661,27.5,65.0,30384.46,Rot
S0172,F0019,2024-03-23,2024-04-12,6743,1894,8.9,68.2,5694.62,Pests
S0173,F0192,2024-07-31,2024-08-19,6081,317,27.6,80.4,15658.61,Rot
S0174,F0077,2024-06-18,2024-06-19,8168,1247,15.1,45.9,11071.35,Pests
S0175,F0061,2024-09-11,2024-09-20,9081,2221,16.8,53.5,23598.22,Rot
S0176,F0146,2024-09-16,2024-09-25,6311,814,18.9,51.2,6830.31,Pests
S0177,F0008,2024-09-30,2024-10-17,4226,199,10.9,43.0,32083.89,Overheating
S0178,F0079,2024-04-17,2024-04-25,1726,180,30.7,94.9,18112.11,Overheating
S0179,F0062,2024-09-22,2024-09-26,5083,1171,10.3,71.8,10888.88,Overheating
S0180,F0173,2024-09-19,2024-09-21,4326,154,34.5,42.3,25493.44,Pests
S0181,F0094,2024-06-04,2024-06-15,1676,477,8.3,91.7,17654.85,Mold
S0182,F0262,2024-01-17,2024-01-20,4311,308,26.3,48.3,15084.13,Pests
S0183,F0035,2024-04-14,2024-04-21,3898,683,34.9,83.5,20229.64,Mold
S0184,F0033,2024-09-26,2024-10-07,1431,389,13.4,74.4,34137.56,Mold
S0185,F0253,2024-02-17,2024-02-29,9848,669,26.2,81.0,7127.77,Bruising
S0186,F0223,2024-01-28,2024-02-12,9972,679,18.4,75.2,37629.37,Overheating
S0187,F0060,2024-06-02,2024-06-21,9010,2688,9.8,83.1,32486.69,Pests
S0188,F0288,2024-05-02,2024-05-09,9927,1880,14.4,67.1,36508.52,Rot
S0189,F0208,2024-07-19,2024-08-01,5913,1557,33.6,52.6,27533.5,Bruising
S0190,F0003,2024-12-05,2024-12-25,7289,1253,16.1,73.2,38137.67,Mold
S0191,F0075,2024-08-02,2024-08-16,5206,941,17.1,51.8,15441.14,Mold
S0192,F0046,2024-11-13,2024-11-15,5086,692,34.8,50.3,35803.11,Mold
S0193,F0111,2024-12-04,2024-12-22,4260,252,26.4,42.3,33271.57,Pests
S0194,F0078,2024-07-18,2024-07-27,5750,1966,17.8,52.3,35814.53,Overheating
S0195,F0260,2024-07-20,2024-07-30,8486,1309,29.4,73.4,34556.29,Pests
S0196,F0090,2024-07-19,2024-08-05,448,5,10.8,53.5,23479.87,Bruising
S0197,F0264,2024-06-29,2024-07-03,9355,3013,26.0,47.4,30626.46,Bruising
S0198,F0170,2024-12-07,2024-12-21,1543,531,20.0,92.7,15749.22,Mold
S0199,F0187,2024-09-24,2024-09-26,8461,2025,26.7,41.0,35258.25,Rot
S0200,F0263,2024-10-12,2024-10-25,7635,1279,32.1,80.1,30493.05,Rot
S0201,F0139,2024-06-15,2024-07-01,2544,12,11.9,72.3,23917.11,Rot
S0202,F0144,2024-07-19,2024-07-25,9959,2632,24.9,53.3,31369.31,Rot
S0203,F0195,2024-08-03,2024-08-21,6977,350,21.3,93.6,15689.15,Bruising
S0204,F0025,2024-06-14,2024-06-20,9723,2035,29.4,59.1,7315.63,Overheating
S0205,F0267,2024-02-01,2024-02-07,5346,1517,12.6,57.2,4032.86,Bruising
S0206,F0159,2024-07-15,2024-07-27,3366,562,32.1,66.1,25587.2,Mold
S0207,F0202,2024-07-25,2024-07-29,4563,745,16.6,83.6,19957.14,Rot
S0208,F0210,2024-04-14,2024-05-04,7676,2058,25.2,82.8,13960.74,Pests
S0209,F0287,2024-05-22,2024-06-09,8004,2713,30.9,62.6,4905.57,Mold
S0210,F0063,2024-07-04,2024-07-17,8972,1186,15.0,82.4,3570.55,Overheating
S0211,F0125,2024-06-05,2024-06-17,6195,1092,31.9,88.2,5663.36,Overheating
S0212,F0085,2024-12-13,2024-12-27,2123,319,25.4,93.2,26088.56,Rot
S0213,F0201,2024-07-25,2024-08-07,5899,1643,21.5,58.5,34870.68,Pests
S0214,F0069,2024-09-29,2024-10-16,7077,1187,13.8,77.5,37132.84,Rot
S0215,F0121,2024-09-14,2024-09-15,9701,2740,23.6,62.2,23801.46,Bruising
S0216,F0123,2024-12-13,2024-12-18,2776,232,21.5,89.4,36154.99,Mold
S0217,F0035,2024-05-27,2024-06-01,6596,1131,28.8,73.3,21344.62,Overheating
S0218,F0185,2024-04-19,2024-04-27,5366,197,26.3,93.6,32480.24,Bruising
S0219,F0167,2024-01-12,2024-01-29,1482,129,13.9,65.2,31031.46,Mold
S0220,F0285,2024-05-20,2024-06-06,1268,233,24.1,41.8,22438.79,Mold
S0221,F0175,2024-02-26,2024-03-13,3977,607,34.0,69.2,10751.03,Overheating
S0222,F0016,2024-04-16,2024-04-26,9762,2204,14.0,49.5,32809.49,Bruising
S0223,F0141,2024-08-05,2024-08-17,1333,327,27.6,72.2,17205.3,Overheating
S0224,F0029,2024-10-28,2024-11-11,4007,1370,29.7,92.9,14518.16,Bruising
S0225,F0221,2024-02-06,2024-02-22,9730,552,20.3,77.5,28919.65,Mold
S0226,F0207,2024-04-07,2024-04-18,3411,234,12.5,81.8,4905.11,Overheating
S0227,F0136,2024-01-09,2024-01-24,3539,407,13.4,81.6,33843.65,Bruising
S0228,F0182,2024-01-12,2024-02-01,558,21,13.6,40.7,34815.37,Overheating
S0229,F0290,2024-05-15,2024-06-02,6122,675,25.1,94.5,13618.41,Rot
S0230,F0233,2024-03-30,2024-04-11,7197,125,28.9,58.9,34608.79,Bruising
S0231,F0164,2024-08-29,2024-09-14,1655,350,20.9,85.2,6875.88,Rot
S0232,F0200,2024-09-27,2024-10-16,4416,1045,13.7,53.9,2806.3,Pests
S0233,F0197,2024-12-29,2025-01-07,8803,1793,12.3,89.3,18593.81,Pests
S0234,F0273,2024-01-07,2024-01-11,3806,1203,18.2,40.5,33551.85,Rot
S0235,F0274,2024-08-25,2024-08-27,3641,1178,32.7,87.2,14861.1,Overheating
S0236,F0125,2024-08-24,2024-09-09,3670,20,13.5,59.5,35462.66,Rot
S0237,F0234,2024-10-29,2024-11-03,3575,906,23.4,90.6,28043.9,Mold
S0238,F0087,2024-02-04,2024-02-23,1180,245,18.8,77.0,29122.03,Pests
S0239,F0073,2024-11-28,2024-12-14,8028,2486,11.2,67.4,16504.37,Pests
S0240,F0115,2024-04-27,2024-04-28,6727,2323,25.1,80.8,3455.04,Rot
S0241,F0025,2024-04-12,2024-04-13,923,243,18.9,91.8,38459.63,Rot
S0242,F0022,2024-10-11,2024-10-30,7078,1082,12.1,41.0,30770.58,Rot
S0243,F0271,2024-12-29,2025-01-02,3362,298,12.4,68.2,6020.23,Mold
S0244,F0258,2024-01-02,2024-01-05,786,48,23.2,73.7,32089.13,Overheating
S0245,F0149,2024-02-09,2024-02-11,9236,2524,20.3,76.9,23276.16,Pests
S0246,F0107,2024-01-13,2024-01-19,8606,1880,11.3,75.8,9871.13,Mold
S0247,F0267,2024-02-26,2024-03-17,1714,564,17.5,45.2,29746.59,Rot
S0248,F0159,2024-02-15,2024-02-27,4789,624,28.6,48.1,25044.23,Bruising
S0249,F0023,2024-04-08,2024-04-09,1591,81,11.1,78.1,24753.05,Overheating
S0250,F0108,2024-07-16,2024-07-31,6974,2358,32.7,80.3,32268.99,Rot
S0251,F0221,2024-01-31,2024-02-01,2512,875,29.6,43.0,25511.37,Bruising
S0252,F0154,2024-08-14,2024-08-23,2497,263,30.8,41.6,16527.1,Pests
S0253,F0167,2024-08-14,2024-08-20,8054,2557,15.4,53.7,17671.8,Rot
S0254,F0169,2024-06-23,2024-07-01,9212,1466,8.0,82.4,11073.78,Bruising
S0255,F0019,2024-02-10,2024-02-28,2942,219,30.3,57.3,25825.13,Bruising
S0256,F0083,2024-02-02,2024-02-20,2296,474,13.7,42.9,27212.56,Pests
S0257,F0112,2024-07-27,2024-08-13,1768,222,15.8,89.9,2518.01,Bruising
S0258,F0086,2024-08-08,2024-08-12,3188,902,26.6,81.0,30619.04,Pests
S0259,F0108,2024-06-23,2024-07-02,753,51,25.3,74.0,26926.48,Overheating
S0260,F0201,2024-03-13,2024-03-16,1412,360,16.2,43.5,4542.64,Rot
S0261,F0286,2024-02-07,2024-02-19,1520,150,11.0,67.2,38842.63,Bruising
S0262,F0156,2024-08-18,2024-08-24,1939,266,18.7,78.3,8582.3,Rot
S0263,F0106,2024-08-23,2024-09-03,5586,1709,8.8,85.6,10597.72,Pests
S0264,F0006,2024-06-28,2024-07-09,4849,1284,30.8,44.0,5400.45,Overheating
S0265,F0074,2024-06-08,2024-06-17,3259,98,21.0,86.0,4175.02,Bruising
S0266,F0115,2024-11-29,2024-12-02,9632,2395,9.7,56.3,12196.42,Pests
S0267,F0091,2024-06-30,2024-07-12,9183,2964,11.7,83.3,11562.55,Bruising
S0268,F0085,2024-03-26,2024-04-12,2126,259,15.7,60.9,31061.94,Pests
S0269,F0188,2024-11-28,2024-12-05,3888,791,14.5,89.1,11991.0,Rot
S0270,F0121,2024-01-26,2024-01-30,6483,1517,15.6,66.0,20522.26,Rot
S0271,F0208,2024-08-23,2024-09-10,8363,388,11.2,66.4,8605.05,Pests
S0272,F0098,2024-08-06,2024-08-21,1294,65,9.8,59.9,19828.36,Bruising
S0273,F0114,2024-10-11,2024-10-13,1471,265,21.1,51.9,25223.4,Mold
S0274,F0029,2024-02-26,2024-02-28,7375,2154,14.5,49.4,34857.21,Pests
S0275,F0240,2024-02-21,2024-02-24,8120,1091,33.0,65.4,29790.39,Rot
S0276,F0144,2024-08-19,2024-08-30,1904,215,25.9,59.9,6548.88,Mold
S0277,F0006,2024-09-03,2024-09-12,3248,1048,24.9,84.6,36301.33,Mold
S0278,F0120,2024-12-17,2024-12-19,9100,2660,28.9,76.5,7293.35,Bruising
S0279,F0022,2024-03-15,2024-03-28,5575,1521,31.1,60.2,36303.34,Pests
S0280,F0235,2024-12-24,2025-01-01,556,158,32.3,44.5,10244.78,Rot
S0281,F0099,2024-05-26,2024-06-10,2601,864,16.2,57.3,9575.56,Rot
S0282,F0185,2024-07-24,2024-07-25,3006,30,33.6,52.8,20127.94,Overheating
S0283,F0241,2024-09-08,2024-09-15,3845,399,13.5,95.0,19349.98,Pests
S0284,F0176,2024-06-13,2024-06-15,6967,732,19.2,79.0,23606.29,Pests
S0285,F0133,2024-05-02,2024-05-03,2836,627,24.4,66.1,22818.78,Mold
S0286,F0062,2024-03-11,2024-03-20,4239,1156,15.4,62.9,36593.99,Overheating
S0287,F0030,2024-03-10,2024-03-29,5562,1820,12.5,63.3,5048.56,Mold
S0288,F0115,2024-07-28,2024-08-06,9641,2715,31.2,92.6,12219.51,Mold
S0289,F0009,2024-02-18,2024-02-20,7436,431,32.4,43.9,30631.71,Pests
S0290,F0154,2024-03-11,2024-03-25,1501,390,29.8,75.9,21486.5,Rot
S0291,F0272,2024-08-16,2024-08-24,8485,2700,23.8,84.1,36153.27,Overheating
S0292,F0293,2024-04-08,2024-04-22,1545,264,18.3,87.3,38350.29,Pests
S0293,F0038,2024-07-29,2024-08-10,8882,1059,26.9,43.1,27930.67,Pests
S0294,F0244,2024-12-10,2024-12-21,457,118,17.2,81.8,38327.08,Pests
S0295,F0046,2024-08-26,2024-09-06,4115,886,33.9,51.4,17546.49,Pests
S0296,F0254,2024-04-29,2024-05-11,6192,1561,28.7,47.0,10457.64,Pests
S0297,F0070,2024-05-16,2024-05-20,884,266,31.9,73.9,26561.98,Mold
S0298,F0278,2024-10-25,2024-11-09,5740,1186,17.6,78.7,18614.33,Pests
S0299,F0190,2024-09-03,2024-09-04,2936,408,11.2,74.6,13103.08,Overheating
S0300,F0101,2024-11-24,2024-12-01,4372,1448,18.0,86.8,26651.49,Pests
