Farm_ID,State,Crop_Type,Harvest_Date,Quantity_Harvested_kg,Expected_Shelf_Life_days,Storage_Type,Initial_Quality_percent,Cost_per_kg,Crop_Type_Url
F0025,Benue,Tomato,12/20/2024,3862,19,Cold Room,74,366.73,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0026,Rivers,Maize,1/14/2024,11033,30,None,81,292.91,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0027,Delta,Rice,3/26/2024,9225,20,Cold Room,79,333.69,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0028,Nasarawa,Cassava,4/9/2024,4214,9,Silo,87,384.33,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0029,Niger,Plantain,1/15/2024,4746,9,Cold Room,93,417.68,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0030,Delta,Pepper,6/27/2024,4112,6,Warehouse,95,154.58,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0031,Abia,Tomato,4/14/2024,8355,23,Cold Room,70,428.9,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0032,Enugu,Rice,3/2/2024,8332,8,Silo,86,107.3,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0033,Imo,Cassava,7/21/2024,1891,26,Warehouse,75,497.04,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0034,Kaduna,Plantain,1/15/2024,11245,7,Silo,87,137.04,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0035,Kaduna,Tomato,10/7/2024,733,28,None,98,392.28,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0036,Anambra,Rice,3/12/2024,3957,3,Cold Room,78,195.98,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0037,Edo,Maize,5/3/2024,9418,16,Warehouse,68,461.31,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0038,Imo,Cassava,6/30/2024,8719,7,Warehouse,98,289.54,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0039,Benue,Tomato,8/13/2024,2954,8,Warehouse,95,336.21,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0040,Akwa Ibom,Tomato,3/2/2024,5840,24,Silo,71,449.79,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0041,Nasarawa,Rice,1/30/2024,5037,4,None,97,264.44,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0042,Oyo,Plantain,1/15/2024,5834,22,Warehouse,82,264.51,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0043,Abia,Rice,9/30/2024,11955,19,Cold Room,100,453.88,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0044,Imo,Onion,4/13/2024,7326,6,Silo,93,205.87,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0045,Nasarawa,Cassava,12/9/2024,1698,9,Cold Room,72,455.72,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0046,Delta,Onion,3/20/2024,4646,7,Silo,79,391.07,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0047,Enugu,Plantain,2/18/2024,3167,24,Warehouse,75,373.72,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0048,Enugu,Yam,9/20/2024,7402,9,Cold Room,85,109.64,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0049,Lagos,Yam,7/6/2024,9577,17,Silo,66,235.27,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0050,Kwara,Pepper,9/21/2024,2348,28,Warehouse,71,106.15,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0051,Ogun,Onion,5/19/2024,4930,27,Warehouse,92,435.32,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0052,Niger,Cassava,12/12/2024,2947,20,Silo,85,108.47,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0053,Benue,Cassava,1/30/2024,1686,11,None,70,414.7,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0054,Nasarawa,Pepper,2/12/2024,4832,30,None,94,74.96,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0055,Anambra,Maize,10/10/2024,10685,7,None,98,375.1,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0056,Benue,Maize,2/26/2024,1325,8,Warehouse,84,340.33,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0057,Plateau,Maize,9/28/2024,7802,19,Warehouse,82,219.21,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0058,Niger,Tomato,1/10/2024,751,3,Warehouse,97,274.15,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0059,Kano,Cassava,8/16/2024,11256,18,Silo,97,202.35,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0060,Nasarawa,Yam,4/20/2024,3754,29,Warehouse,90,495.46,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0061,Kaduna,Tomato,1/28/2024,1658,23,Cold Room,92,140.2,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0062,Enugu,Maize,2/13/2024,10310,10,Cold Room,67,267.56,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0063,Niger,Plantain,3/21/2024,559,11,Cold Room,86,488.23,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0064,Edo,Rice,10/7/2024,1064,12,Warehouse,87,148.67,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0065,Enugu,Pepper,6/20/2024,8276,11,Warehouse,80,287.04,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0066,Oyo,Maize,1/3/2024,1970,7,Silo,67,239.41,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0067,Kwara,Rice,6/2/2024,1884,21,Warehouse,89,398.65,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0068,Kaduna,Maize,9/10/2024,10636,23,Warehouse,67,424.69,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0069,Anambra,Onion,9/19/2024,9081,27,None,79,106.59,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0070,Kaduna,Yam,1/22/2024,2218,15,Silo,100,91.84,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0071,Akwa Ibom,Rice,1/10/2024,8516,11,None,94,413.01,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0072,Akwa Ibom,Pepper,9/14/2024,11301,19,None,95,178.44,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0073,Niger,Rice,2/8/2024,3862,10,Silo,96,433.58,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0074,Abia,Maize,2/9/2024,1265,22,Warehouse,69,327.87,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0075,Niger,Maize,6/18/2024,10676,21,Warehouse,65,277.44,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0076,Niger,Pepper,9/5/2024,11840,9,Silo,83,374.81,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0077,Imo,Plantain,5/26/2024,8140,27,None,100,155.68,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0078,Abia,Tomato,2/13/2024,5244,17,None,97,486.29,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0079,Niger,Cassava,8/18/2024,3937,9,None,70,130.95,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0080,Niger,Yam,9/25/2024,2672,22,Cold Room,72,372.43,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0081,Abia,Plantain,4/28/2024,6956,3,Warehouse,65,478.48,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0082,Imo,Cassava,12/14/2024,5447,26,Warehouse,91,217.9,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0083,Kano,Yam,6/10/2024,528,13,Cold Room,90,121.62,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0084,Lagos,Maize,4/10/2024,4648,14,None,90,237.77,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0085,Oyo,Yam,10/28/2024,7513,27,Cold Room,68,190.67,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0086,Kwara,Onion,1/27/2024,4584,11,Silo,97,205.71,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0087,Anambra,Tomato,7/10/2024,10836,15,Warehouse,70,91.27,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0088,Imo,Onion,7/29/2024,11059,30,Cold Room,96,91.06,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0089,Kaduna,Onion,10/8/2024,8236,16,Cold Room,83,198.04,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0090,Niger,Cassava,11/30/2024,11247,10,Cold Room,95,309.65,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0091,Kano,Onion,7/20/2024,11038,8,None,78,285.26,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0092,Akwa Ibom,Rice,9/11/2024,7921,13,Silo,92,130.03,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0093,Nasarawa,Pepper,4/8/2024,3362,13,None,85,172.82,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0094,Plateau,Tomato,5/12/2024,7263,15,Silo,98,160.3,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0095,Edo,Tomato,5/18/2024,8661,11,Cold Room,73,365.3,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0096,Plateau,Pepper,9/27/2024,4940,10,Silo,90,347.69,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0097,Kwara,Tomato,8/9/2024,2584,4,Silo,95,486.36,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0098,Lagos,Pepper,9/7/2024,6914,29,Silo,93,176.84,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0099,Nasarawa,Onion,2/25/2024,2991,19,None,94,106.55,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0100,Lagos,Onion,1/21/2024,4310,21,None,84,483.85,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0101,Niger,Cassava,11/16/2024,11945,27,None,71,100.25,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0102,Plateau,Cassava,9/25/2024,4774,10,None,65,301.11,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0103,Niger,Yam,8/23/2024,11060,29,Warehouse,95,296.3,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0104,Nasarawa,Tomato,10/7/2024,7247,25,Cold Room,68,79.37,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0105,Anambra,Pepper,9/12/2024,4714,10,Silo,88,167.52,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0106,Edo,Cassava,1/18/2024,6436,24,Silo,77,72.9,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0107,Rivers,Pepper,5/29/2024,3862,18,Warehouse,84,399.32,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0108,Nasarawa,Plantain,4/9/2024,4128,11,Cold Room,71,479.33,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0109,Benue,Rice,9/10/2024,8447,16,None,74,466.43,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0110,Plateau,Tomato,1/28/2024,10266,7,Silo,68,375.24,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0111,Enugu,Plantain,4/4/2024,5647,26,None,70,470.59,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0112,Plateau,Onion,6/17/2024,11190,19,Silo,67,204.09,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0113,Delta,Yam,7/12/2024,7748,8,None,65,103.64,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0114,Delta,Cassava,2/11/2024,2526,20,Warehouse,89,223.35,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0115,Anambra,Pepper,6/7/2024,1307,25,Silo,77,230.27,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0116,Plateau,Yam,8/16/2024,6467,26,Silo,66,341.61,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0117,Enugu,Tomato,5/6/2024,6653,4,Silo,69,415.44,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0118,Niger,Rice,2/1/2024,1529,22,Cold Room,88,187.1,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0119,Ogun,Maize,11/11/2024,11798,13,Cold Room,84,71.62,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0120,Oyo,Tomato,10/31/2024,4331,6,Silo,94,480.18,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0121,Niger,Cassava,7/16/2024,8585,7,Silo,76,73.74,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0122,Kaduna,Rice,6/4/2024,5870,30,Cold Room,94,225.6,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0123,Oyo,Rice,11/1/2024,6917,27,Warehouse,80,245.34,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0124,Ogun,Plantain,11/28/2024,9553,20,Cold Room,75,491.51,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0125,Oyo,Maize,2/23/2024,10733,5,Warehouse,71,251.06,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0126,Imo,Onion,12/29/2024,4337,7,Silo,94,336.73,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0127,Nasarawa,Pepper,12/11/2024,5315,12,Cold Room,82,230.38,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0128,Plateau,Plantain,5/13/2024,4553,8,Warehouse,80,135.93,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0129,Plateau,Yam,10/23/2024,1561,15,Cold Room,80,288.15,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0130,Kano,Plantain,4/28/2024,1106,6,None,95,449.61,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0131,Imo,Yam,4/28/2024,1161,12,Warehouse,72,91.67,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0132,Plateau,Pepper,11/3/2024,6598,19,Warehouse,93,329.31,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0133,Lagos,Pepper,12/6/2024,10944,22,Cold Room,78,86.11,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0134,Kaduna,Tomato,6/23/2024,3841,11,None,78,420.34,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0135,Anambra,Yam,6/16/2024,3533,22,Cold Room,69,157.47,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0136,Akwa Ibom,Plantain,9/10/2024,1536,16,None,90,355.53,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0137,Akwa Ibom,Pepper,3/20/2024,11199,8,Silo,82,246.21,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0138,Kwara,Cassava,5/25/2024,1341,12,Cold Room,91,249.07,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0139,Plateau,Cassava,7/5/2024,7135,9,None,92,457.7,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0140,Kano,Pepper,8/4/2024,7155,21,Cold Room,94,402.41,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0141,Lagos,Tomato,3/7/2024,9536,7,Silo,70,316.33,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0142,Rivers,Onion,7/8/2024,2890,14,Cold Room,75,294.1,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0143,Kano,Cassava,2/4/2024,8536,27,Warehouse,84,124.46,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0144,Abia,Yam,1/23/2024,1374,22,Silo,70,458.81,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0145,Benue,Rice,11/13/2024,10675,15,Warehouse,95,148.68,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0146,Ogun,Cassava,4/21/2024,8985,8,Silo,87,122.91,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0147,Plateau,Tomato,5/6/2024,9713,29,None,85,120.62,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0148,Imo,Maize,11/2/2024,11133,16,Cold Room,80,253.07,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0149,Delta,Plantain,12/3/2024,8750,17,Warehouse,66,71.51,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
